Word1,Word2,Relation,Missing
a_dua,a_tòng,SYN,a_tòng
a_ma_tơ,tài_tử,SYN,a_ma_tơ
a_tòng,vào_hùa,SYN,a_tòng
à_ơi,ạ_ơi,SYN,ạ_ơi
à_ơi,ầu_ơ,SYN,ầu_ơ
ả,thị,SYN,ả
ạ_ơi,ầu_ơ,SYN,"ạ_ơi,ầu_ơ"
ác,tợn,SYN,tợn
ác_cái_là,ác_một_cái_là,SYN,"ác_cái_là,ác_một_cái_là"
ác_hại,tai_hại,SYN,ác_hại
ác_hiểm,hiểm_ác,SYN,ác_hiểm
ác_khẩu,ác_miệng,SYN,ác_khẩu
ác_là,bồ_các,SYN,bồ_các
ác_nghiệt,ác_nghiệp,SYN,ác_nghiệp
ác_thần,hung_thần,SYN,ác_thần
accordeon,đàn_xếp,SYN,"accordeon,đàn_xếp"
accordeon,phong_cầm,SYN,"accordeon,phong_cầm"
ái_chà,úi_chà,SYN,"ái_chà,úi_chà"
AIDS,SIDA,SYN,"AIDS,SIDA"
ảm_đạm,âm_âm,SYN,âm_âm
ám,ếm,SYN,ếm
ám_hiệu,mật_hiệu,SYN,mật_hiệu
ám_muội,bất_minh,SYN,ám_muội
ám_muội,đen_tối,SYN,ám_muội
ám_muội,khuất_tất,SYN,ám_muội
ám_muội,mờ_ám,SYN,ám_muội
amiante,bông_đá,SYN,"amiante,bông_đá"
amygdala,hạnh_nhân,SYN,amygdala
an_phận,thủ_phận,SYN,thủ_phận
an_tâm,chắc_dạ,SYN,chắc_dạ
an_thân,yên_thân,SYN,an_thân
an_toạ,an_vị,SYN,an_toạ
an_toạ,yên_vị,SYN,an_toạ
anh_linh,khôn_thiêng,SYN,khôn_thiêng
ánh_ỏi,lảnh_lói,SYN,"ánh_ỏi,lảnh_lói"
ào,ù,SYN,ù
ảo_ảnh,ảo_tượng,SYN,ảo_tượng
ảo_huyền,huyền_ảo,SYN,ảo_huyền
ảo_huyền,kì_ảo,SYN,ảo_huyền
ảo_huyền,kỳ_ảo,SYN,ảo_huyền
ảo_mộng,mộng_ảo,SYN,mộng_ảo
ảo_tưởng,mộng_ảo,SYN,mộng_ảo
áo_gai,áo_sô,SYN,"áo_gai,áo_sô"
áo_kén,tơ_gốc,SYN,"áo_kén,tơ_gốc"
áo_khăn,khăn_áo,SYN,"áo_khăn,khăn_áo"
áo_lá,áo_mưa,SYN,áo_lá
áo_lá,áo_tơi,SYN,áo_lá
áo_quan,cỗ_áo,SYN,cỗ_áo
áo_quan,cỗ_ván,SYN,cỗ_ván
áo_quần,áo_xống,SYN,áo_xống
áo_tang,áo_gai,SYN,"áo_tang,áo_gai"
áo_tang,áo_sô,SYN,"áo_tang,áo_sô"
áo_thụng,áo_rộng,SYN,áo_thụng
áo_xống,quần_áo,SYN,áo_xống
áo_xống,xống_áo,SYN,"áo_xống,xống_áo"
áp,xáp,SYN,xáp
áp_giải,áp_điệu,SYN,áp_điệu
ăn,tọng,SYN,tọng
ăn,xực,SYN,xực
ăn_báo_cô,ăn_báo_hại,SYN,"ăn_báo_cô,ăn_báo_hại"
ăn_bẫm,ăn_dày,SYN,"ăn_bẫm,ăn_dày"
ăn_bẫm,ăn_đậm,SYN,"ăn_bẫm,ăn_đậm"
ăn_bẫm,ăn_đủ,SYN,ăn_bẫm
ăn_bận,ăn_mặc,SYN,ăn_bận
ăn_dày,ăn_đậm,SYN,"ăn_dày,ăn_đậm"
ăn_dày,ăn_đủ,SYN,ăn_dày
ăn_đậm,ăn_đủ,SYN,ăn_đậm
ăn_gian,ăn_lận,SYN,ăn_lận
ăn_lường,ăn_quỵt,SYN,"ăn_lường,ăn_quỵt"
ăn_lường,quịt,SYN,"ăn_lường,quịt"
ăn_lường,quỵt,SYN,ăn_lường
ăn_nhịp,nhịp_nhàng,SYN,ăn_nhịp
ăn_phải_bả,ăn_phải_đũa,SYN,"ăn_phải_bả,ăn_phải_đũa"
ăn_quỵt,quịt,SYN,"ăn_quỵt,quịt"
ăn_quỵt,quỵt,SYN,ăn_quỵt
ắng_lặng,im_ắng,SYN,ắng_lặng
ắng_lặng,yên_ắng,SYN,ắng_lặng
ắt,ắt_là,SYN,ắt_là
ắt_hẳn,ắt_là,SYN,ắt_là
ắt_là,tất,SYN,ắt_là
âm_âm,âm_u,SYN,âm_âm
âm_âm,u_ám,SYN,âm_âm
âm_âm_u_u,âm_u,SYN,âm_âm_u_u
âm_đức,âm_công,SYN,"âm_đức,âm_công"
âm_nang,bìu_dái,SYN,"âm_nang,bìu_dái"
âm_nang,dái,SYN,"âm_nang,dái"
âm_nang,đì,SYN,âm_nang
âm_phủ,âm_ti,SYN,âm_ti
âm_phủ,âm_ty,SYN,âm_ty
âm_ti,âm_ty,SYN,"âm_ti,âm_ty"
ầm_ì,ì_ầm,SYN,"ầm_ì,ì_ầm"
ầm_ĩ,rầm_rĩ,SYN,rầm_rĩ
ầm_ừ,ậm_ừ,SYN,ầm_ừ
ấm_a_ấm_ớ,ấm_ớ,SYN,"ấm_a_ấm_ớ,ấm_ớ"
ấm_a_ấm_ớ,dấm_dớ,SYN,"ấm_a_ấm_ớ,dấm_dớ"
ấm_a_ấm_ứ,ấm_ứ,SYN,"ấm_a_ấm_ứ,ấm_ứ"
