sentence_id,reference,TensorFlow NMT_hypothesis,PyTorch Transformer_hypothesis,TensorFlow NMT_sentence_chrfpp,PyTorch Transformer_sentence_chrfpp,chrfpp_difference_TensorFlow NMT_minus_PyTorch Transformer,winner
1,"Làm sao tôi có thể trình bày trong 10 phút về sợi dây liên kết những người phụ nữ qua ba thế hệ , về việc làm thế nào những sợi dây mạnh mẽ đáng kinh ngạc ấy đã níu chặt lấy cuộc sống của một cô bé bốn tuổi co quắp với đứa em gái nhỏ của cô bé , với mẹ và bà trong suốt năm ngày đêm trên con thuyền nhỏ lênh đênh trên Biển Đông hơn 30 năm trước , những sợi dây liên kết đã níu lấy cuộc đời cô bé ấy và không bao giờ rời đi -- cô bé ấy giờ sống ở San Francisco và đang nói chuyện với các bạn hôm nay ?","Làm thế nào để nói đến trong 10 phút về những thế hệ của phụ nữ , về cách mà sự thật sự có thể khiến trong cuộc sống của một đứa bé 6 tuổi với cô gái của cô gái cô ấy , bà ấy và bà ấy cho 5 ngày","làm thế nào tôi có thể nói trong 10 phút về sự liên kết giữa phụ nữ trong 3 thế hệ, về sức mạnh đáng kinh ngạc của những liên kết này giữ được trong cuộc sống của một cô bé 4 tuổi, chị em gái",21.242059953841547,26.478031478598545,-5.235971524756998,PyTorch Transformer
2,Câu chuyện này chưa kết thúc .,Đây không phải là một câu chuyện hoàn toàn chưa được hoàn thành .,đây không phải là một câu chuyện hoàn thành.,34.01635314280144,31.69783199970828,2.318521143093161,TensorFlow NMT
3,Nó là một trò chơi ghép hình vẫn đang được xếp .,Đó là một câu hỏi của một câu hỏi .,nó là một trò chơi xếp hình vẫn được sắp xếp lại với nhau.,15.583834290084726,58.72798206340871,-43.144147773323986,PyTorch Transformer
4,Hãy để tôi kể cho các bạn về vài mảnh ghép nhé .,Để tôi kể cho các bạn nghe về một số mảnh .,để tôi kể cho các bạn nghe về một vài mẩu nhỏ.,51.448120169794365,51.61561171163784,-0.16749154184347503,PyTorch Transformer
5,Hãy tưởng tượng mảnh đầu tiên : một người đàn ông đốt cháy sự nghiệp cả đời mình .,Hãy tưởng tượng một cái đầu tiên : một người đàn ông cháy đời của ông .,hãy tưởng tượng tác phẩm đầu tiên của một người đàn ông đang đốt cháy công việc của anh ta.,58.14844106402677,54.61148463110517,3.536956432921599,TensorFlow NMT
6,"Ông là nhà thơ , nhà viết kịch , một người mà cả cuộc đời chênh vênh trên tia hi vọng duy nhất rằng đất nước ông sẽ độc lập tự do .","Ông là một nhà thơ , một nhà soạn nhạc , một người đàn ông mà cả đời sống trong một hy vọng của đất nước của ông và tự do .","ông là một nhà thơ, một nhà viết kịch, một người đàn ông mà toàn bộ cuộc sống đã cân bằng một niềm hy vọng duy trì sự đoàn kết và tự do của đất nước mình.",35.20288152539333,44.15654578977822,-8.95366426438489,PyTorch Transformer
7,"Hãy tưởng tượng ông , một người cộng sản tiến vào Sài Gòn , đối diện sự thật rằng cả cuộc đời ông đã phí hoài .","Hãy tưởng tượng ông ta là sự thống nhất vào sự kiện , thách thức rằng sự sống của ông đã bị lãng phí .","hãy tưởng tượng anh ta là người chủ nghĩa cộng sản bước vào thế giới, thách thức thực tế rằng cuộc sống của anh ta đã là một sự lãng phí hoàn toàn.",32.58215899725243,35.587717144461514,-3.0055581472090864,PyTorch Transformer
8,"Ngôn từ , qua bao năm tháng là bạn đồng hành với ông , giờ quay ra chế giễu ông .","Từ đó , cho thấy một người bạn của ông , giờ thì giờ , giờ đã được thuyết phục anh ấy .","từ ngữ, cho những người bạn thân của anh ta, bây giờ đã làm cho anh ta một mình.",18.465303252848752,15.03694453106282,3.4283587217859317,TensorFlow NMT
9,Ông rút lui vào yên lặng .,Ông ta vượt vào sự im lặng .,anh ta rút lui về sự i mại lặng.,27.87262050991195,38.58355850887191,-10.71093799895996,PyTorch Transformer
10,"Ông qua đời , bị lịch sử quật ngã .",Ông ấy đã chết vì lịch sử .,ông ấy đã chết vì lịch sử.,23.185359413150543,23.185359413150543,0.0,Tie
