sentence_id,reference,TensorFlow NMT_hypothesis,PyTorch Transformer_hypothesis,TensorFlow NMT_sentence_chrfpp,PyTorch Transformer_sentence_chrfpp,chrfpp_difference_TensorFlow NMT_minus_PyTorch Transformer,winner
571,Tôi đã rất sợ .,Và tôi sợ hãi .,và tôi đã rất sợ.,20.593434343434343,95.42054828746458,-74.82711394403024,PyTorch Transformer
120,Phi thường .,Những thứ Ba .,một điều phi thường.,13.976582480818415,84.18402307852423,-70.20744059770581,PyTorch Transformer
515,Tôi luôn là người chụp ảnh .,Tôi luôn luôn là một cái nhìn .,tôi luôn luôn là người chụp ảnh.,39.029744985584074,96.27270750152206,-57.24296251593799,PyTorch Transformer
789,"Ở Nam Trung Los Angeles , mọi người đang chết vì những căn bệnh có thể chữa được .",Người ta đang chết từ bệnh viện từ trường học ở Nam York .,mọi người đang chết vì những căn bệnh có thể chữa được ở miền nam los angeles.,24.580082282786165,80.36023460377763,-55.78015232099146,PyTorch Transformer
822,đủ để trồng 725 triệu cây cà chua .,Đó là khả năng không gian cho hàng triệu loại thuốc .,đó là không gian đủ để trồng hàng triệu cây cà chua.,15.034055583624548,70.5392518513059,-55.505196267681356,PyTorch Transformer
1029,Động cơ đốt trong không bền vững .,Nó không có thể là sự bền vững .,động cơ đốt trong không bền vững chút nào.,36.455834663628245,90.4997838685086,-54.043949204880356,PyTorch Transformer
785,Đây là vùng Nam Los Angeles .,Đây là Nam York .,đây là nam los angeles.,24.266043339185753,72.213247137589,-47.94720379840324,PyTorch Transformer
886,Chúng giết gia súc của chúng tôi .,Họ giết cho chúng ta .,họ giết gia súc của chúng ta.,23.97078355473664,69.56785685868184,-45.597073303945194,PyTorch Transformer
719,Suy nghĩ về cái chết làm cuộc sống của bạn rõ ràng .,Hãy nghĩ về những điều chết về sự sống .,hãy nghĩ về cái chết làm sáng tỏ cuộc sống của bạn.,25.473291532043223,70.27357190186136,-44.80028036981814,PyTorch Transformer
373,Hôm nay tôi 22 tuổi .,Hôm nay tôi là 22 .,hôm nay tôi 22 tuổi.,55.22864738245703,100.0,-44.77135261754297,PyTorch Transformer
52,Tôi là người Nam Triều Tiên hay Bắc Triều Tiên ?,Tôi có ở Nam Triều Tiên hay Bắc Triều Tiên ?,am tôi là nam hàn hay bắc hàn?,76.09796263792319,31.432943517486123,44.665019120437066,TensorFlow NMT
484,Điều mà bạn nên làm là đấu tranh cho sự tự chủ của mình ngày hôm nay .,Nhưng bạn phải chiến đấu cho sự dễ dàng của bạn .,nhưng bạn phải đấu tranh cho sự tự quyết của mình ngày hôm nay.,17.687905509456087,60.08074434294619,-42.3928388334901,PyTorch Transformer
433,"Và một vài người thậm chí đã nói , nó giống như Stasi 2.0 .","Và một số người kể , nó sẽ là một sự nhân tạo .","và một vài người thậm chí đã nói, điều này có thể gọi là món quà 2.0.",21.146001591987204,62.11553361189962,-40.96953201991242,PyTorch Transformer
230,Anh ta cần chúng để cảm thấy được bảo vệ .,Ông ấy cần phải cảm thấy được quyền tự quyền .,anh ta cần họ để cảm thấy được mình được bảo vệ.,34.44511228287904,75.06626412338076,-40.621151840501724,PyTorch Transformer
345,Một ngôi trường thật sự .,Một ngôi trường thực sự .,một trường học thực sự.,75.1658174234606,35.19315242074747,39.97266500271313,TensorFlow NMT
