Word1,Word2,Relation,POS_GROUP,Missing
bằng_cớ,chứng_cớ,SYN,NOUN,bằng_cớ
gông_cùm,gông_xiềng,SYN,NOUN,"gông_cùm,gông_xiềng"
dạ_hương,dạ_lý_hương,SYN,NOUN,dạ_lý_hương
vô_tỷ,số_vô_tỷ,SYN,NOUN,"vô_tỷ,số_vô_tỷ"
cha,u,ANT,NOUN,u
cõi_tục,trần_gian,SYN,NOUN,cõi_tục
khởi_thuỷ,cuối_cùng,ANT,NOUN,khởi_thuỷ
thầy,u,ANT,NOUN,u
dầu_hoả,dầu_hôi,SYN,NOUN,dầu_hôi
xuân_phân,thu_phân,ANT,NOUN,"xuân_phân,thu_phân"
thiên_quốc,địa_ngục,ANT,NOUN,thiên_quốc
phụ_thân,má,ANT,NOUN,phụ_thân
mẹ,u,SYN,NOUN,u
quá_khứ,vị_lai,ANT,NOUN,vị_lai
tha_ma,nghĩa_trang,SYN,NOUN,tha_ma
đạo_lí,đạo_nghĩa,SYN,NOUN,đạo_lí
ông_già,u,ANT,NOUN,u
thiên_quốc,hoả_ngục,ANT,NOUN,"thiên_quốc,hoả_ngục"
tinh_mơ,tinh_sương,SYN,NOUN,tinh_sương
phong_bì,bao_thơ,SYN,NOUN,bao_thơ
cha_nội,cha,SYN,NOUN,cha_nội
ba,u,ANT,NOUN,u
thiên_đàng,hoả_ngục,ANT,NOUN,hoả_ngục
thiên_đường,hoả_ngục,ANT,NOUN,hoả_ngục
nền,figure,ANT,NOUN,figure
ổ,nhóm,SYN,NOUN,ổ
cõi_tục,dương_gian,SYN,NOUN,"cõi_tục,dương_gian"
thuộc_hạ,thủ_túc,SYN,NOUN,thủ_túc
công_khố,công_quỹ,SYN,NOUN,công_khố
tép_riu,nhãi_nhép,SYN,NOUN,"tép_riu,nhãi_nhép"
danh_giá,ô_danh,ANT,NOUN,ô_danh
đồng_la,phèng_la,SYN,NOUN,"đồng_la,phèng_la"
danh_dự,ô_danh,ANT,NOUN,ô_danh
phụ_thân,me,ANT,NOUN,phụ_thân
tiết_diện,thiết_diện,SYN,NOUN,thiết_diện
trăng_gió,trăng_hoa,SYN,NOUN,trăng_gió
phụ_thân,mợ,ANT,NOUN,phụ_thân
tay_hữu,tay_trái,ANT,NOUN,tay_hữu
bè_đảng,bè_phái,SYN,NOUN,bè_đảng
tí_ti,tí_teo,SYN,NOUN,tí_teo
thiện_tâm,ác_tâm,ANT,NOUN,ác_tâm
gái_điếm,kĩ_nữ,SYN,NOUN,kĩ_nữ
thiên_tính,thiên_tư,SYN,NOUN,"thiên_tính,thiên_tư"
nhất_nguyên_luận,thuyết_nhất_nguyên,SYN,NOUN,"nhất_nguyên_luận,thuyết_nhất_nguyên"
phụ_thân,u,ANT,NOUN,"phụ_thân,u"
cõi_tục,trần_thế,SYN,NOUN,cõi_tục
đại_hồi,hồi,SYN,NOUN,đại_hồi
phụ_thân,bầm,ANT,NOUN,phụ_thân
chuồng_xí,nhà_cầu,SYN,NOUN,"chuồng_xí,nhà_cầu"
tía,u,ANT,NOUN,u
lãnh_thổ,cương_vực,SYN,NOUN,cương_vực
cõi_dương,trần_gian,SYN,NOUN,cõi_dương
tiên_sư,tổ_sư,SYN,NOUN,tiên_sư
tột_bực,tột_đỉnh,SYN,NOUN,tột_bực
hát_bộ,hát_tuồng,SYN,NOUN,hát_bộ
hình_dáng,hình_trạng,SYN,NOUN,hình_trạng
dương_gian,trần_thế,SYN,NOUN,dương_gian
tai_vạ,tai_ương,SYN,NOUN,tai_vạ
vận_mệnh,vận_số,SYN,NOUN,vận_số
cõi_trần,dương_gian,SYN,NOUN,dương_gian
khởi_thuỷ,chấm_hết,ANT,NOUN,khởi_thuỷ
chủ_nghĩa_nhân_đạo,chủ_nghĩa_nhân_văn,SYN,NOUN,chủ_nghĩa_nhân_đạo
tiên_nga,ngọc_nữ,SYN,NOUN,tiên_nga
bố,u,ANT,NOUN,u
trần,dương_gian,SYN,NOUN,dương_gian
đàn_tì,đàn_tỳ,SYN,NOUN,"đàn_tì,đàn_tỳ"
